@relation 'trainwsae-weka.filters.unsupervised.attribute.Remove-R1-3,5,8-9'

@attribute sadness numeric
@attribute class {Bot,Human}
@attribute fear numeric
@attribute anger numeric
@attribute surprise numeric
@attribute joy numeric

@data
0.214062,Bot,0.034259,0.311002,0.203703,0.236975
0.521809,Bot,0.058847,0.366184,0.02504,0.02812
0.082826,Bot,0.3017,0.19531,0.300851,0.119313
0.199663,Bot,0.218682,0.128044,0.149755,0.303857
0.245208,Bot,0.07042,0.097026,0.062463,0.524883
0.149269,Bot,0.163435,0.12606,0.405535,0.155701
0.140836,Bot,0.097141,0.076621,0.583183,0.102219
0.239333,Bot,0.094241,0.076307,0.396173,0.193947
0.049344,Bot,0.049466,0.045311,0.549459,0.306419
0.039577,Bot,0.018192,0.013229,0.89378,0.035222
0.166935,Bot,0.239357,0.190519,0.125664,0.277524
0.187335,Bot,0.086688,0.19043,0.09218,0.443367
0.432402,Bot,0.219013,0.233339,0.014533,0.100713
0.261656,Bot,0.183609,0.32682,0.097965,0.12995
0.304028,Bot,0.356104,0.166497,0.024695,0.148676
0.49934,Bot,0.024723,0.350811,0.09439,0.030736
0.384003,Bot,0.365404,0.236648,0.004655,0.00929
0.163254,Bot,0.200068,0.077722,0.371682,0.187275
0.144006,Bot,0.152595,0.171302,0.322785,0.209312
0.709727,Bot,0.159448,0.094064,0.011344,0.025417
0.376528,Bot,0.152467,0.24361,0.115234,0.112161
0.557272,Bot,0.22607,0.099377,0.034377,0.082905
0.204058,Bot,0.254033,0.433993,0.009687,0.098228
0.199527,Bot,0.581661,0.159981,0.022394,0.036438
0.129202,Bot,0.242487,0.182713,0.027583,0.418015
0.236388,Bot,0.182152,0.060507,0.465144,0.055809
0.163254,Bot,0.200068,0.077722,0.371682,0.187275
